record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight,genus,species,taxa,plot_type
533,1,8,1978,2,DM,M,NA,45,Dipodomys,merriami,Rodent,Control
593,2,18,1978,2,DM,M,38,52,Dipodomys,merriami,Rodent,Control
595,2,18,1978,2,DM,M,37,51,Dipodomys,merriami,Rodent,Control
600,2,18,1978,2,DM,F,37,40,Dipodomys,merriami,Rodent,Control
601,2,18,1978,2,DM,M,36,41,Dipodomys,merriami,Rodent,Control
660,3,11,1978,2,DM,M,37,53,Dipodomys,merriami,Rodent,Control
664,3,11,1978,2,DM,M,35,43,Dipodomys,merriami,Rodent,Control
733,4,8,1978,2,DM,M,33,NA,Dipodomys,merriami,Rodent,Control
754,4,8,1978,2,DM,M,37,NA,Dipodomys,merriami,Rodent,Control
757,4,8,1978,2,DM,F,NA,NA,Dipodomys,merriami,Rodent,Control
764,4,8,1978,2,DM,M,35,NA,Dipodomys,merriami,Rodent,Control
838,5,6,1978,2,DM,M,37,48,Dipodomys,merriami,Rodent,Control
842,5,6,1978,2,DM,F,38,41,Dipodomys,merriami,Rodent,Control
849,5,6,1978,2,DM,M,36,43,Dipodomys,merriami,Rodent,Control
914,5,19,1978,2,DM,F,NA,41,Dipodomys,merriami,Rodent,Control
924,5,19,1978,2,DM,M,37,49,Dipodomys,merriami,Rodent,Control
930,5,19,1978,2,DM,M,36,44,Dipodomys,merriami,Rodent,Control
1018,6,9,1978,2,DM,M,36,43,Dipodomys,merriami,Rodent,Control
1061,7,7,1978,2,DM,F,38,46,Dipodomys,merriami,Rodent,Control
1062,7,7,1978,2,DM,F,37,43,Dipodomys,merriami,Rodent,Control
1159,8,5,1978,2,DM,F,36,31,Dipodomys,merriami,Rodent,Control
1183,8,5,1978,2,DM,F,37,47,Dipodomys,merriami,Rodent,Control
1269,9,4,1978,2,DM,F,38,41,Dipodomys,merriami,Rodent,Control
1272,9,4,1978,2,DM,F,36,42,Dipodomys,merriami,Rodent,Control
1277,9,4,1978,2,DM,F,38,47,Dipodomys,merriami,Rodent,Control
1370,10,8,1978,2,DM,F,36,39,Dipodomys,merriami,Rodent,Control
1382,10,8,1978,2,DM,F,38,42,Dipodomys,merriami,Rodent,Control
1461,11,5,1978,2,DM,F,36,38,Dipodomys,merriami,Rodent,Control
1469,11,5,1978,2,DM,F,38,41,Dipodomys,merriami,Rodent,Control
1519,12,3,1978,2,DM,M,38,46,Dipodomys,merriami,Rodent,Control
1529,12,3,1978,2,DM,M,38,38,Dipodomys,merriami,Rodent,Control
1534,12,3,1978,2,DM,F,37,40,Dipodomys,merriami,Rodent,Control
1535,12,3,1978,2,DM,F,38,43,Dipodomys,merriami,Rodent,Control
1539,12,3,1978,2,DM,M,36,49,Dipodomys,merriami,Rodent,Control
69,8,19,1977,2,PF,M,15,8,Perognathus,flavus,Rodent,Control
432,12,10,1977,2,PF,NA,NA,NA,Perognathus,flavus,Rodent,Control
532,1,8,1978,2,PF,F,NA,7,Perognathus,flavus,Rodent,Control
590,2,18,1978,2,PF,F,16,7,Perognathus,flavus,Rodent,Control
650,3,11,1978,2,PF,F,15,7,Perognathus,flavus,Rodent,Control
652,3,11,1978,2,PF,M,14,8,Perognathus,flavus,Rodent,Control
833,5,6,1978,2,PF,M,14,8,Perognathus,flavus,Rodent,Control
995,6,9,1978,2,PF,M,16,8,Perognathus,flavus,Rodent,Control
1351,10,8,1978,2,PF,M,15,6,Perognathus,flavus,Rodent,Control
7,7,16,1977,2,PE,F,NA,NA,Peromyscus,eremicus,Rodent,Control
238,9,13,1977,2,PE,M,20,19,Peromyscus,eremicus,Rodent,Control
279,10,16,1977,2,PE,F,19,NA,Peromyscus,eremicus,Rodent,Control
517,1,8,1978,2,PE,M,26,22,Peromyscus,eremicus,Rodent,Control
604,2,18,1978,2,PE,M,22,25,Peromyscus,eremicus,Rodent,Control
671,3,11,1978,2,PE,M,20,28,Peromyscus,eremicus,Rodent,Control
673,3,11,1978,2,PE,F,NA,29,Peromyscus,eremicus,Rodent,Control
1283,9,4,1978,2,PE,F,20,20,Peromyscus,eremicus,Rodent,Control
1301,9,4,1978,2,PE,M,20,17,Peromyscus,eremicus,Rodent,Control
1467,11,5,1978,2,PE,M,20,22,Peromyscus,eremicus,Rodent,Control
220,9,13,1977,2,DS,M,52,NA,Dipodomys,spectabilis,Rodent,Control
247,10,16,1977,2,DS,M,54,NA,Dipodomys,spectabilis,Rodent,Control
585,2,18,1978,2,DS,M,53,157,Dipodomys,spectabilis,Rodent,Control
657,3,11,1978,2,DS,M,54,153,Dipodomys,spectabilis,Rodent,Control
731,4,8,1978,2,DS,F,47,110,Dipodomys,spectabilis,Rodent,Control
749,4,8,1978,2,DS,M,NA,NA,Dipodomys,spectabilis,Rodent,Control
835,5,6,1978,2,DS,M,53,149,Dipodomys,spectabilis,Rodent,Control
912,5,19,1978,2,DS,M,NA,148,Dipodomys,spectabilis,Rodent,Control
934,5,19,1978,2,DS,F,47,114,Dipodomys,spectabilis,Rodent,Control
993,6,9,1978,2,DS,M,54,149,Dipodomys,spectabilis,Rodent,Control
1151,8,5,1978,2,DS,M,52,165,Dipodomys,spectabilis,Rodent,Control
1266,9,4,1978,2,DS,M,53,158,Dipodomys,spectabilis,Rodent,Control
1365,10,8,1978,2,DS,M,53,149,Dipodomys,spectabilis,Rodent,Control
18,7,16,1977,2,PP,M,22,NA,Chaetodipus,penicillatus,Rodent,Control
933,5,19,1978,2,PP,F,20,13,Chaetodipus,penicillatus,Rodent,Control
1294,9,4,1978,2,PP,M,21,19,Chaetodipus,penicillatus,Rodent,Control
355,11,12,1977,2,OT,NA,NA,NA,Onychomys,torridus,Rodent,Control
431,12,10,1977,2,OT,NA,NA,NA,Onychomys,torridus,Rodent,Control
446,12,10,1977,2,OT,NA,NA,NA,Onychomys,torridus,Rodent,Control
452,12,10,1977,2,OT,NA,NA,NA,Onychomys,torridus,Rodent,Control
534,1,8,1978,2,OT,NA,NA,NA,Onychomys,torridus,Rodent,Control
598,2,18,1978,2,OT,F,NA,24,Onychomys,torridus,Rodent,Control
603,2,18,1978,2,OT,M,NA,25,Onychomys,torridus,Rodent,Control
663,3,11,1978,2,OT,M,18,25,Onychomys,torridus,Rodent,Control
670,3,11,1978,2,OT,F,20,25,Onychomys,torridus,Rodent,Control
732,4,8,1978,2,OT,NA,19,NA,Onychomys,torridus,Rodent,Control
918,5,19,1978,2,OT,F,21,30,Onychomys,torridus,Rodent,Control
1472,11,5,1978,2,OT,F,20,23,Onychomys,torridus,Rodent,Control
1541,12,3,1978,2,OT,M,21,NA,Onychomys,torridus,Rodent,Control
242,9,13,1977,2,OX,M,19,22,Onychomys,sp.,Rodent,Control
587,2,18,1978,2,OX,NA,NA,NA,Onychomys,sp.,Rodent,Control
274,10,16,1977,2,OL,F,20,21,Onychomys,leucogaster,Rodent,Control
366,11,12,1977,2,OL,NA,NA,NA,Onychomys,leucogaster,Rodent,Control
441,12,10,1977,2,OL,NA,NA,NA,Onychomys,leucogaster,Rodent,Control
513,1,8,1978,2,OL,NA,NA,NA,Onychomys,leucogaster,Rodent,Control
1543,12,3,1978,2,OL,F,22,38,Onychomys,leucogaster,Rodent,Control
1544,12,3,1978,2,OL,M,21,32,Onychomys,leucogaster,Rodent,Control
2,7,16,1977,3,NL,M,33,NA,Neotoma,albigula,Rodent,Long-term Krat Exclosure
344,10,18,1977,3,NL,NA,NA,NA,Neotoma,albigula,Rodent,Long-term Krat Exclosure
509,1,8,1978,3,NL,NA,NA,NA,Neotoma,albigula,Rodent,Long-term Krat Exclosure
655,3,11,1978,3,NL,M,32,232,Neotoma,albigula,Rodent,Long-term Krat Exclosure
755,4,8,1978,3,NL,F,32,NA,Neotoma,albigula,Rodent,Long-term Krat Exclosure
886,5,18,1978,3,NL,F,NA,182,Neotoma,albigula,Rodent,Long-term Krat Exclosure
1083,7,8,1978,3,NL,F,34,115,Neotoma,albigula,Rodent,Long-term Krat Exclosure
1087,7,8,1978,3,NL,M,34,190,Neotoma,albigula,Rodent,Long-term Krat Exclosure
1250,9,4,1978,3,NL,F,34,141,Neotoma,albigula,Rodent,Long-term Krat Exclosure
1361,10,8,1978,3,NL,NA,NA,NA,Neotoma,albigula,Rodent,Long-term Krat Exclosure
5,7,16,1977,3,DM,M,35,NA,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
13,7,16,1977,3,DM,M,35,NA,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
63,8,19,1977,3,DM,M,35,40,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
221,9,13,1977,3,DM,NA,NA,NA,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
303,10,17,1977,3,DM,M,36,31,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
315,10,17,1977,3,DM,M,36,39,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
1279,9,4,1978,3,DM,M,NA,NA,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
498,12,11,1977,3,PF,M,16,7,Perognathus,flavus,Rodent,Long-term Krat Exclosure
520,1,8,1978,3,PF,M,15,7,Perognathus,flavus,Rodent,Long-term Krat Exclosure
672,3,11,1978,3,PF,M,15,8,Perognathus,flavus,Rodent,Long-term Krat Exclosure
1275,9,4,1978,3,PF,F,17,7,Perognathus,flavus,Rodent,Long-term Krat Exclosure
1366,10,8,1978,3,PF,F,15,NA,Perognathus,flavus,Rodent,Long-term Krat Exclosure
1380,10,8,1978,3,PF,F,16,6,Perognathus,flavus,Rodent,Long-term Krat Exclosure
17,7,16,1977,3,DS,F,48,NA,Dipodomys,spectabilis,Rodent,Long-term Krat Exclosure
73,8,19,1977,3,DS,F,44,NA,Dipodomys,spectabilis,Rodent,Long-term Krat Exclosure
241,9,13,1977,3,DS,NA,NA,NA,Dipodomys,spectabilis,Rodent,Long-term Krat Exclosure
217,9,13,1977,3,PP,F,19,15,Chaetodipus,penicillatus,Rodent,Long-term Krat Exclosure
1257,9,4,1978,3,PP,F,21,13,Chaetodipus,penicillatus,Rodent,Long-term Krat Exclosure
1352,10,8,1978,3,PP,F,22,NA,Chaetodipus,penicillatus,Rodent,Long-term Krat Exclosure
478,12,11,1977,3,OT,NA,NA,NA,Onychomys,torridus,Rodent,Long-term Krat Exclosure
584,2,18,1978,3,OT,M,NA,24,Onychomys,torridus,Rodent,Long-term Krat Exclosure
599,2,18,1978,3,OT,F,15,23,Onychomys,torridus,Rodent,Long-term Krat Exclosure
658,3,11,1978,3,OT,F,21,22,Onychomys,torridus,Rodent,Long-term Krat Exclosure
668,3,11,1978,3,OT,M,21,26,Onychomys,torridus,Rodent,Long-term Krat Exclosure
1009,6,9,1978,3,OT,F,20,29,Onychomys,torridus,Rodent,Long-term Krat Exclosure
1256,9,4,1978,3,OT,M,21,27,Onychomys,torridus,Rodent,Long-term Krat Exclosure
1286,9,4,1978,3,OT,F,20,28,Onychomys,torridus,Rodent,Long-term Krat Exclosure
1533,12,3,1978,3,OT,F,20,23,Onychomys,torridus,Rodent,Long-term Krat Exclosure
1542,12,3,1978,3,OT,M,20,28,Onychomys,torridus,Rodent,Long-term Krat Exclosure
292,10,17,1977,3,DO,F,36,33,Dipodomys,ordii,Rodent,Long-term Krat Exclosure
294,10,17,1977,3,DO,F,37,50,Dipodomys,ordii,Rodent,Long-term Krat Exclosure
70,8,19,1977,3,OX,F,21,22,Onychomys,sp.,Rodent,Long-term Krat Exclosure
1281,9,4,1978,3,SS,NA,NA,NA,Spermophilus,spilosoma,Rodent,Long-term Krat Exclosure
504,1,8,1978,3,OL,NA,NA,NA,Onychomys,leucogaster,Rodent,Long-term Krat Exclosure
22,7,17,1977,15,NL,F,31,NA,Neotoma,albigula,Rodent,Long-term Krat Exclosure
121,8,21,1977,15,NL,NA,NA,NA,Neotoma,albigula,Rodent,Long-term Krat Exclosure
1168,8,5,1978,15,NL,F,31,196,Neotoma,albigula,Rodent,Long-term Krat Exclosure
26,7,17,1977,15,DM,M,31,NA,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
27,7,17,1977,15,DM,M,36,NA,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
31,7,17,1977,15,DM,F,37,NA,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
114,8,21,1977,15,DM,F,32,NA,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
128,8,21,1977,15,DM,M,34,NA,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
133,8,21,1977,15,DM,M,37,NA,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
135,8,21,1977,15,DM,F,35,NA,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
143,8,21,1977,15,DM,M,35,NA,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
225,9,13,1977,15,DM,NA,NA,NA,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
227,9,13,1977,15,DM,NA,NA,NA,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
230,9,13,1977,15,DM,NA,NA,NA,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
316,10,17,1977,15,DM,M,37,48,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
635,2,20,1978,15,DM,M,38,49,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
641,2,20,1978,15,DM,M,38,50,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
643,2,20,1978,15,DM,F,35,40,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
712,3,13,1978,15,DM,M,36,48,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
714,3,13,1978,15,DM,F,NA,44,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
716,3,13,1978,15,DM,M,35,45,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
724,3,13,1978,15,DM,M,37,48,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
729,3,13,1978,15,DM,M,36,46,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
827,4,10,1978,15,DM,M,36,47,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
900,5,18,1978,15,DM,M,37,41,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
1265,9,4,1978,15,PF,F,16,6,Perognathus,flavus,Rodent,Long-term Krat Exclosure
1386,10,8,1978,15,PF,F,15,7,Perognathus,flavus,Rodent,Long-term Krat Exclosure
144,8,21,1977,15,DS,M,40,NA,Dipodomys,spectabilis,Rodent,Long-term Krat Exclosure
231,9,13,1977,15,DS,NA,NA,NA,Dipodomys,spectabilis,Rodent,Long-term Krat Exclosure
1076,7,8,1978,15,PP,F,21,12,Chaetodipus,penicillatus,Rodent,Long-term Krat Exclosure
1078,7,8,1978,15,PP,F,23,10,Chaetodipus,penicillatus,Rodent,Long-term Krat Exclosure
1181,8,5,1978,15,PP,F,21,14,Chaetodipus,penicillatus,Rodent,Long-term Krat Exclosure
1264,9,4,1978,15,PP,F,20,15,Chaetodipus,penicillatus,Rodent,Long-term Krat Exclosure
1368,10,8,1978,15,PP,F,21,16,Chaetodipus,penicillatus,Rodent,Long-term Krat Exclosure
1446,11,5,1978,15,AH,NA,NA,NA,Ammospermophilus,harrisi,Rodent,Long-term Krat Exclosure
38,7,17,1977,17,NL,M,33,NA,Neotoma,albigula,Rodent,Control
214,9,12,1977,17,NL,NA,NA,NA,Neotoma,albigula,Rodent,Control
495,12,11,1977,17,NL,NA,NA,NA,Neotoma,albigula,Rodent,Control
971,6,8,1978,17,NL,F,32,135,Neotoma,albigula,Rodent,Control
1146,8,4,1978,17,NL,F,32,149,Neotoma,albigula,Rodent,Control
34,7,17,1977,17,DM,NA,NA,NA,Dipodomys,merriami,Rodent,Control
118,8,21,1977,17,DM,M,33,NA,Dipodomys,merriami,Rodent,Control
123,8,21,1977,17,DM,M,37,NA,Dipodomys,merriami,Rodent,Control
142,8,21,1977,17,DM,F,34,NA,Dipodomys,merriami,Rodent,Control
187,9,12,1977,17,DM,M,36,46,Dipodomys,merriami,Rodent,Control
189,9,12,1977,17,DM,F,33,37,Dipodomys,merriami,Rodent,Control
202,9,12,1977,17,DM,F,32,48,Dipodomys,merriami,Rodent,Control
209,9,12,1977,17,DM,F,35,42,Dipodomys,merriami,Rodent,Control
287,10,17,1977,17,DM,M,38,41,Dipodomys,merriami,Rodent,Control
288,10,17,1977,17,DM,M,37,48,Dipodomys,merriami,Rodent,Control
290,10,17,1977,17,DM,F,33,NA,Dipodomys,merriami,Rodent,Control
318,10,17,1977,17,DM,M,33,29,Dipodomys,merriami,Rodent,Control
320,10,17,1977,17,DM,F,35,39,Dipodomys,merriami,Rodent,Control
380,11,13,1977,17,DM,F,33,38,Dipodomys,merriami,Rodent,Control
382,11,13,1977,17,DM,M,37,40,Dipodomys,merriami,Rodent,Control
399,11,13,1977,17,DM,F,36,39,Dipodomys,merriami,Rodent,Control
462,12,11,1977,17,DM,M,36,40,Dipodomys,merriami,Rodent,Control
481,12,11,1977,17,DM,F,35,37,Dipodomys,merriami,Rodent,Control
482,12,11,1977,17,DM,M,37,46,Dipodomys,merriami,Rodent,Control
496,12,11,1977,17,DM,F,36,37,Dipodomys,merriami,Rodent,Control
538,1,9,1978,17,DM,M,36,40,Dipodomys,merriami,Rodent,Control
539,1,9,1978,17,DM,F,34,37,Dipodomys,merriami,Rodent,Control
556,1,9,1978,17,DM,F,36,38,Dipodomys,merriami,Rodent,Control
608,2,19,1978,17,DM,F,34,42,Dipodomys,merriami,Rodent,Control
610,2,19,1978,17,DM,M,37,39,Dipodomys,merriami,Rodent,Control
627,2,19,1978,17,DM,NA,NA,NA,Dipodomys,merriami,Rodent,Control
680,3,12,1978,17,DM,M,NA,NA,Dipodomys,merriami,Rodent,Control
707,3,12,1978,17,DM,F,NA,NA,Dipodomys,merriami,Rodent,Control
785,4,9,1978,17,DM,M,39,49,Dipodomys,merriami,Rodent,Control
788,4,9,1978,17,DM,M,36,42,Dipodomys,merriami,Rodent,Control
792,4,9,1978,17,DM,F,34,42,Dipodomys,merriami,Rodent,Control
807,4,9,1978,17,DM,F,35,43,Dipodomys,merriami,Rodent,Control
888,5,18,1978,17,DM,M,34,23,Dipodomys,merriami,Rodent,Control
891,5,18,1978,17,DM,M,35,41,Dipodomys,merriami,Rodent,Control
894,5,18,1978,17,DM,F,35,38,Dipodomys,merriami,Rodent,Control
905,5,18,1978,17,DM,M,33,21,Dipodomys,merriami,Rodent,Control
910,5,18,1978,17,DM,F,37,41,Dipodomys,merriami,Rodent,Control
941,6,8,1978,17,DM,M,36,29,Dipodomys,merriami,Rodent,Control
947,6,8,1978,17,DM,F,33,43,Dipodomys,merriami,Rodent,Control
966,6,8,1978,17,DM,M,35,29,Dipodomys,merriami,Rodent,Control
975,6,8,1978,17,DM,F,35,43,Dipodomys,merriami,Rodent,Control
1034,7,7,1978,17,DM,M,35,35,Dipodomys,merriami,Rodent,Control
1041,7,7,1978,17,DM,M,37,45,Dipodomys,merriami,Rodent,Control
1043,7,7,1978,17,DM,M,36,47,Dipodomys,merriami,Rodent,Control
1052,7,7,1978,17,DM,F,33,39,Dipodomys,merriami,Rodent,Control
1056,7,7,1978,17,DM,F,36,45,Dipodomys,merriami,Rodent,Control
1112,8,4,1978,17,DM,M,35,37,Dipodomys,merriami,Rodent,Control
1121,8,4,1978,17,DM,M,38,50,Dipodomys,merriami,Rodent,Control
1123,8,4,1978,17,DM,F,33,44,Dipodomys,merriami,Rodent,Control
1198,9,3,1978,17,DM,M,37,46,Dipodomys,merriami,Rodent,Control
1215,9,3,1978,17,DM,M,39,52,Dipodomys,merriami,Rodent,Control
1216,9,3,1978,17,DM,M,39,49,Dipodomys,merriami,Rodent,Control
1226,9,3,1978,17,DM,F,34,44,Dipodomys,merriami,Rodent,Control
1328,10,7,1978,17,DM,F,35,41,Dipodomys,merriami,Rodent,Control
1332,10,7,1978,17,DM,F,37,42,Dipodomys,merriami,Rodent,Control
1339,10,7,1978,17,DM,M,38,48,Dipodomys,merriami,Rodent,Control
1408,11,4,1978,17,DM,F,33,40,Dipodomys,merriami,Rodent,Control
1433,11,4,1978,17,DM,M,39,49,Dipodomys,merriami,Rodent,Control
1485,12,2,1978,17,DM,F,34,40,Dipodomys,merriami,Rodent,Control
1108,8,4,1978,17,PE,M,20,19,Peromyscus,eremicus,Rodent,Control
1110,8,4,1978,17,PE,F,19,14,Peromyscus,eremicus,Rodent,Control
134,8,21,1977,17,DS,F,45,NA,Dipodomys,spectabilis,Rodent,Control
191,9,12,1977,17,DS,M,47,NA,Dipodomys,spectabilis,Rodent,Control
200,9,12,1977,17,DS,F,52,NA,Dipodomys,spectabilis,Rodent,Control
301,10,17,1977,17,DS,F,48,NA,Dipodomys,spectabilis,Rodent,Control
309,10,17,1977,17,DS,M,49,NA,Dipodomys,spectabilis,Rodent,Control
381,11,13,1977,17,DS,F,48,118,Dipodomys,spectabilis,Rodent,Control
385,11,13,1977,17,DS,M,50,132,Dipodomys,spectabilis,Rodent,Control
477,12,11,1977,17,DS,F,47,115,Dipodomys,spectabilis,Rodent,Control
540,1,9,1978,17,DS,F,47,117,Dipodomys,spectabilis,Rodent,Control
560,1,9,1978,17,DS,M,50,133,Dipodomys,spectabilis,Rodent,Control
622,2,19,1978,17,DS,F,46,137,Dipodomys,spectabilis,Rodent,Control
685,3,12,1978,17,DS,F,NA,NA,Dipodomys,spectabilis,Rodent,Control
703,3,12,1978,17,DS,M,NA,NA,Dipodomys,spectabilis,Rodent,Control
797,4,9,1978,17,DS,M,50,142,Dipodomys,spectabilis,Rodent,Control
805,4,9,1978,17,DS,F,47,142,Dipodomys,spectabilis,Rodent,Control
890,5,18,1978,17,DS,M,49,131,Dipodomys,spectabilis,Rodent,Control
892,5,18,1978,17,DS,F,50,115,Dipodomys,spectabilis,Rodent,Control
956,6,8,1978,17,DS,F,49,123,Dipodomys,spectabilis,Rodent,Control
963,6,8,1978,17,DS,M,50,133,Dipodomys,spectabilis,Rodent,Control
1055,7,7,1978,17,DS,M,51,132,Dipodomys,spectabilis,Rodent,Control
1059,7,7,1978,17,DS,F,48,120,Dipodomys,spectabilis,Rodent,Control
1118,8,4,1978,17,DS,F,48,123,Dipodomys,spectabilis,Rodent,Control
1130,8,4,1978,17,DS,M,51,138,Dipodomys,spectabilis,Rodent,Control
1212,9,3,1978,17,DS,F,51,122,Dipodomys,spectabilis,Rodent,Control
1224,9,3,1978,17,DS,M,51,136,Dipodomys,spectabilis,Rodent,Control
1330,10,7,1978,17,DS,M,52,134,Dipodomys,spectabilis,Rodent,Control
1333,10,7,1978,17,DS,F,50,121,Dipodomys,spectabilis,Rodent,Control
1398,11,4,1978,17,DS,F,50,120,Dipodomys,spectabilis,Rodent,Control
1414,11,4,1978,17,DS,M,NA,137,Dipodomys,spectabilis,Rodent,Control
1488,12,2,1978,17,DS,F,47,119,Dipodomys,spectabilis,Rodent,Control
1435,11,4,1978,17,SH,M,29,89,Sigmodon,hispidus,Rodent,Control
296,10,17,1977,17,OT,NA,18,21,Onychomys,torridus,Rodent,Control
299,10,17,1977,17,OT,M,19,NA,Onychomys,torridus,Rodent,Control
706,3,12,1978,17,OT,F,NA,NA,Onychomys,torridus,Rodent,Control
784,4,9,1978,17,OT,M,NA,23,Onychomys,torridus,Rodent,Control
1237,9,3,1978,17,OT,M,NA,NA,Onychomys,torridus,Rodent,Control
317,10,17,1977,17,DO,F,32,48,Dipodomys,ordii,Rodent,Control
323,10,17,1977,17,DO,F,33,31,Dipodomys,ordii,Rodent,Control
795,4,9,1978,17,DO,F,33,55,Dipodomys,ordii,Rodent,Control
908,5,18,1978,17,DO,M,33,18,Dipodomys,ordii,Rodent,Control
977,6,8,1978,17,DO,M,34,23,Dipodomys,ordii,Rodent,Control
1070,7,7,1978,17,DO,M,35,33,Dipodomys,ordii,Rodent,Control
1129,8,4,1978,17,DO,M,35,38,Dipodomys,ordii,Rodent,Control
1424,11,4,1978,17,DO,F,31,45,Dipodomys,ordii,Rodent,Control
1506,12,2,1978,17,DO,F,33,44,Dipodomys,ordii,Rodent,Control
321,10,17,1977,17,OL,F,NA,23,Onychomys,leucogaster,Rodent,Control
626,2,19,1978,17,OL,F,20,35,Onychomys,leucogaster,Rodent,Control
701,3,12,1978,17,OL,NA,NA,NA,Onychomys,leucogaster,Rodent,Control
951,6,8,1978,17,OL,F,21,29,Onychomys,leucogaster,Rodent,Control
